image_path,text,label,title,source,featured,priority
dataset\images\real1.jpg,“2026年4月11日19时32分，我国太原卫星发射中心在广东阳江附近海域使用捷龙三号运载火箭，成功将卫星互联网技术试验卫星发射升空，卫星顺利进入预定轨道，发射任务取得圆满成功。”,0,捷龙三号卫星发射（真实）,自建案例,1,1
dataset\images\real2.jpg,中国体育代表团亮相，苏翊鸣高高举起五星红旗,0,苏翊鸣举国旗（真实）,自建案例,1,2
dataset\images\real3.jpg,“2026年5月15日，甘肃榆中县遭遇特大暴雨，引发山洪，部分村庄被淹。当地消防和武警官兵迅速转移群众300余人，无一人伤亡。目前救援工作已基本完成，灾后恢复有序进行。”,0,甘肃榆中暴雨救援（真实）,自建案例,1,3
dataset\images\rumor1.jpg,“2026年5月18日，重庆铜梁区发生3.1级地震，网传当地出现严重灾情、房屋大面积倒塌。经中国地震局核实，本次地震未造成人员伤亡和重大财产损失，网传图片实为外地旧图。”,1,重庆铜梁地震灾情（谣言）,自建案例,1,4
dataset\images\rumor2.jpg,记者在广西环江“5·16”过桥车辆坠河事件事发地漫水桥附近看到，坠河车辆位置已确定，现场搜救人员正进行打捞作业。目前在车内发现1名失联人员，经确认已无生命体征。截至目前，该事件已造成6人遇难，4人失联。（新华社）,1,广西环江车辆坠河（谣言）,自建案例,1,5
dataset\images\rumor3.jpg,“2026年5月20日，湖北宜昌三峡人家景区发生游船倒扣事故，网传导致30人坠江失踪。当地文旅局和海事部门联合辟谣：景区运营正常，网传图片为AI生成，无此事件。”,1,三峡景区游船倾覆（谣言）,自建案例,1,6
dataset\images\finefake_01_apnews_real.jpeg,"Defense rests without Chauvin testimony at murder trialMINNEAPOLIS (AP) — Former Officer Derek Chauvin chose not to take the stand as testimony at his murder trial ended Thursday, passing up the chance to explain to the jury and the public for the first time what he was thinking when he pressed his knee against George Floyd’s neck.

Closing arguments are set to begin Monday, after which a racially diverse jury will begin deliberating at a barbed-wire-ringed courthouse in a city on edge — not just because of the Chauvin case but because of the deadly police shooting of a 20-year-old Black man in a Minneapolis suburb last weekend.

Before the jury was brought in Thursday morning, Chauvin, his COVID-19 mask removed in a rare courtroom moment, ended weeks of speculation by informing the judge he would invoke his Fifth Amendment right not to testify.

Shortly afterward, the defense rested its case, after a total of two days of testimony, compared with two weeks for the prosecution.

Judge Peter Cahill reminded the jurors they will be sequestered starting Monday and said: “If I were you, I would plan for long and hope for short.”

Chauvin, 45, is charged with murder and manslaughter in Floyd’s death after the 46-year-old Black man was arrested on suspicion of passing a counterfeit $20 at a neighborhood market last May.

Bystander video of Floyd gasping that he couldn’t breathe as bystanders yelled at Chauvin to get off him triggered worldwide protests, violence and a furious examination of racism and policing in the U.S.

The most serious charge against the now-fired white officer, second-degree murder, carries up to 40 years in prison, though state guidelines call for about 12.

Prosecutors say Floyd died because the officer’s knee was pressed against Floyd’s neck or close to it for 9 1/2 minutes as he lay on the pavement on his stomach, his hands cuffed behind him and his face jammed against the ground.

Law enforcement veterans inside and outside the Minneapolis department testified for the prosecution that Chauvin used excessive force and went against his training, while medical experts said Floyd died of asphyxia, or lack of oxygen, because his breathing was constricted by the way he was held down.

Chauvin attorney Eric Nelson called a police use-of-force expert and a forensic pathologist to help make the case that Chauvin acted reasonably against a struggling suspect and that Floyd died because of an underlying heart condition and his illegal drug use. Floyd had high blood pressure and narrowed arteries, and fentanyl and methamphetamine were found in his system.

The only time Chauvin has been heard defending himself was when the jury listened to body-camera footage from the scene. After an ambulance had taken Floyd away, Chauvin told a bystander: “We gotta control this guy ’cause he’s a sizable guy ... and it looks like he’s probably on something.”

The decision of whether Chauvin should testify carried risks either way.

Taking the stand could have opened him up to devastating cross-examination, with prosecutors replaying the video of the arrest and forcing Chauvin to explain, one frame at a time, why he kept pressing down on Floyd.

But testifying could have also given the jury the opportunity to look at his unmasked face and see or hear any remorse or sympathy he might feel.

Also, what was going through Chauvin’s mind could be crucial: Legal experts say that an officer who believes his or her life was at risk can be found to have acted legally even if, in hindsight, it turns out there was no such danger.

In one final bit of testimony on Thursday, the prosecution briefly recalled a lung and critical care expert to knock down a defense witness’ theory that carbon monoxide poisoning from a squad car’s exhaust might have contributed to Floyd’s death. Dr. Martin Tobin noted hospital tests that showed Floyd’s level was at most 2%, within the normal range.

With the trial in session, Minneapolis has been bracing for a possible repeat of the protests and violence that broke out last spring over Floyd’s death.

The case has unfolded amid days of protests in the adjoining suburb of Brooklyn Center, after Officer Kim Potter, who is white, apparently mistook her gun for a Taser and fatally shot Daunte Wright. She resigned and was charged with manslaughter.

___

Find AP’s full coverage of the death of George Floyd at: https://apnews.com/hub/death-of-george-floyd

___

Webber reported from Fenton, Michigan. Associated Press video journalist Angie Wang contributed from Atlanta.",0,FineFake_Defense rests without Chauvin testimony...,FineFake/apnews,0,7
dataset\images\finefake_02_cdc_gov_fake.jpeg,"About CDCCDC 24/7

Saving Lives, Protecting People TM

CDC is the nation’s leading science-based, data-driven, service organization that protects the public’s health. For more than 70 years, we’ve put science into action to help children stay healthy so they can grow and learn; to help families, businesses, and communities fight disease and stay strong; and to protect the public’s health.",1,"FineFake_About CDCCDC 24/7

Saving Lives,...",FineFake/cdc_gov,0,8
dataset\images\finefake_03_apnews_real.jpeg,"US implicates Saudi crown prince in Khashoggi’s killingWASHINGTON (AP) — Saudi Arabia’s crown prince likely approved the killing of U.S.-based journalist Jamal Khashoggi inside the Saudi consulate in Istanbul, according to a newly declassified U.S. intelligence report released Friday that instantly ratcheted up pressure on the Biden administration to hold the kingdom accountable for a murder that drew worldwide outrage.

The intelligence findings were long known to many U.S. officials and, even as they remained classified, had been reported with varying degrees of precision. But the public rebuke of Crown Prince Mohammed bin Salman is still a touchstone in U.S-Saudi relations. It leaves no doubt that as the prince continues in his powerful role and likely ascends to the throne, Americans will forever associate him with the brutal killing of a journalist who promoted democracy and human rights.

Yet even as the Biden administration released the findings, it appeared determined to preserve the Saudi relationship by avoiding direct punishment of the prince himself despite demands from some congressional Democrats and Khashoggi allies for significant and targeted sanctions.

Questioned by reporters, Secretary of State Antony Blinken defended the approach.

“What we’ve done by the actions we’ve taken is not to rupture the relationship but to recalibrate it to be more in line with our interests and our values,” he said. “I think that we have to understand as well that this is bigger than any one person.”

The conclusion that the prince approved an operation to kill or capture Khashoggi was based on his decision-making role inside the kingdom, the involvement of a key adviser and members of his protective detail and his past support for violently silencing dissidents abroad, according to the report from the Office of the Director of National Intelligence.

Though intelligence officials stopped short of saying the prince ordered the October 2018 murder, the four-page document described him as having “absolute control” over the kingdom’s intelligence organizations and said it would have been highly unlikely for an operation like the killing to have been carried out without his approval.

Saudi Arabia’s Foreign Ministry responded by saying the kingdom “categorically rejects the offensive and incorrect assessment in the report pertaining to the kingdom’s leadership.”

Shortly after the findings were released, the State Department announced a new policy, called the “Khashoggi Ban,” that will allow the U.S. to deny visas to people who harm, threaten or spy on journalists on behalf of a foreign government. It also said it would impose visa restrictions on 76 Saudi individuals who have engaged or threatened dissidents overseas.

The State Department declined to comment on who would be affected, citing the confidentiality of visa records. But a person familiar with the matter said the prince was not targeted. The person spoke on condition of anonymity because of the sensitivity of the matter.

The Treasury Department also announced sanctions against a former Saudi intelligence official, Ahmad Hassan Mohammed al Asiri, who U.S. officials say was the operation’s ringleader.

Democrats in Congress praised the administration for releasing the report — the Trump administration had refused to do so — but urged it to take more aggressive actions, including against the prince.

Rep. Adam Schiff, chair of the House Intelligence Committee, urged the Biden administration to consider punishing the prince, who he says has the blood of an American journalist on his hands.

“The President should not meet with the Crown Prince, or talk with him, and the Administration should consider sanctions on assets in the Saudi Public Investment Fund he controls that have any link to the crime,” Schiff said in a statement.

Sen. Ron Wyden, an Oregon Democrat, called for consequences for the prince — such as sanctions — as well as for the Saudi kingdom as a whole.

Rights activists said the lack of any punitive measures would signal impunity for the prince and other autocrats.

Without sanctions, “it’s a joke,” said Tawwakol Karman, a Nobel Peace Price winner from neighboring Yemen and friend of Khashoggi’s.

While Biden had pledged as a candidate to make Saudi Arabia a “pariah” over the killing, he appeared to take a milder tone during a call Thursday with Saudi King Salman.

A White House summary of the conversation made no mention of the killing and said instead that the men had discussed the countries’ long-standing partnership. The kingdom’s state-run Saudi Press Agency similarly did not mention Khashoggi’s killing in its report about the call, focusing on regional issues like Iran and the war in Yemen.

White House press secretary Jen Psaki has told reporters that the administration intends to “recalibrate” the U.S. relationship with Saudi Arabia. Biden previously ordered an end to U.S. support for the Saudi-led bombing campaign in Yemen and said he would stop the sale of offensive weapons to Saudi Arabia but has given few details of his plans.

Though the Biden administration’s relationship with Riyadh is likely to be more adversarial than that of Donald Trump’s, the reality is that Riyadh’s oil reserves and status as a counterbalance to Iran in the Middle East have long made it a strategic — if difficult — ally.

The broad outlines of the killing have long been known. The document released Friday says a 15-member Saudi team, including seven members of the prince’s elite personal protective team, arrived in Istanbul, though it says it’s unclear how far in advance Saudi officials had decided to harm him.

Khashoggi had gone to the Saudi consulate to pick up documents needed for his wedding. Once inside, he died at the hands of more than a dozen Saudi security and intelligence officials and others who had assembled ahead of his arrival. Surveillance cameras had tracked his route and those of his alleged killers in Istanbul in the hours before his killing.

A Turkish bug planted at the consulate reportedly captured the sound of a forensic saw, operated by a Saudi colonel who was also a forensics expert, dismembering Khashoggi’s body within an hour of his entering the building. The whereabouts of his remains remain unknown.

The prince, an ambitious 35-year-old who has rapidly consolidated power since his father became king in 2015, said in 2019 that he took “full responsibility” for the killing since it happened on his watch, but denied ordering it. Saudi officials have said Khashoggi’s killing was the work of rogue Saudi security and intelligence officials. Saudi Arabian courts last year announced they had sentenced eight Saudi nationals to prison in Khashoggi’s killing. They were not identified.

___

Madhani reported from Chicago. Associated Press writers Matthew Lee and Ben Fox in Washington and Ellen Knickmeyer in Oklahoma City contributed to this report.",0,FineFake_US implicates Saudi crown prince in...,FineFake/apnews,0,9
dataset\images\finefake_04_cdc_gov_fake.jpeg,"Important Milestones: Your Baby By Thirty MonthsConcerned About Your Child’s Development?

Act Early.

You know your child best. Don’t wait. If your child is not meeting one or more milestones, has lost skills he or she once had, or you have other concerns, act early. Talk with your child’s doctor, share your concerns, and ask about developmental screening. The American Academy of Pediatrics recommends that children be screened for general development using standardized, validated tools at 9, 18, and 30 months and for autism at 18 and 24 months or whenever a parent or provider has a concern.

If you or the doctor are still concerned:

Ask for a referral to a specialist who can evaluate your child more; and Call your state or territory’s early intervention program to find out if your child can get services to help. Learn more and find the number at cdc.gov/FindEI.

For more on how to help your child, visit cdc.gov/Concerned.",1,FineFake_Important Milestones: Your Baby By...,FineFake/cdc_gov,0,10
